"9","H03BB02","THIAMAZOLE",""
"15","N06AA10","NORTRIPTYLINE",""
"16","N06AA10","NORTRIPTYLINE",""
"57","D02AC","SOFT PARAFFIN AND FAT PRODUCTS",""
"68","V04CG05","METHYLTHIONINE",""
"69","V03AB17","METHYLTHIONINIUM CHLORIDE",""
"115","V07AB","SOLVENTS AND DILUTING AGENTS, INCL IRRIGAT SOLUT",""
"117","V07AB","SOLVENTS AND DILUTING AGENTS, INCL IRRIGAT SOLUT",""
"160","A03AD01","PAPAVERINE",""
"193","R06AA11","DIMENHYDRINATE",""
"197","R06AA11","DIMENHYDRINATE",""
"198","A03AX13","SILICONES",""
"211","D04AB01","LIDOCAINE",""
"212","N01BB02","LIDOCAINE",""
"227","M03AB01","SUXAMETHONIUM",""
"228","B05CB01","SODIUM CHLORIDE",""
"229","V07AB","SOLVENTS AND DILUTING AGENTS, INCL IRRIGAT SOLUT",""
"250","L01DA01","DACTINOMYCIN",""
"254","S01FA01","ATROPINE",""
"259","S01CA01","DEXAMETHASONE AND ANTIINFECTIVES",""
"259","S01CA01","DEXAMETHASONE AND ANTIINFECTIVES",""
"260","S01FA06","TROPICAMIDE",""
"287","M01CC01","PENICILLAMINE",""
"290","P01BC01","QUININE",""
"316","N05BB01","HYDROXYZINE",""
"354","H02AB01","BETAMETHASONE",""
"405","N03AA02","PHENOBARBITAL",""
"405","N03AA02","PHENOBARBITAL",""
"406","N03AA02","PHENOBARBITAL",""
"406","N03AA02","PHENOBARBITAL",""
"407","N03AA02","PHENOBARBITAL",""
"407","N03AA02","PHENOBARBITAL",""
"408","N03AA02","PHENOBARBITAL",""
"408","N03AA02","PHENOBARBITAL",""
"415","N02CA01","DIHYDROERGOTAMINE",""
"430","G03DA02","MEDROXYPROGESTERONE",""
"432","H02AB09","HYDROCORTISONE",""
"433","H02AB09","HYDROCORTISONE",""
"507","H02AB07","PREDNISONE",""
"579","R06AB04","CHLORPHENIRAMINE",""
"585","N01BB02","LIDOCAINE",""
"587","N01BB02","LIDOCAINE",""
"589","N01BB52","LIDOCAINE, COMBINATIONS",""
"590","N01BB52","LIDOCAINE, COMBINATIONS",""
"613","N03AB02","PHENYTOIN",""
"631","D07CB05","FLUMETASONE AND ANTIBIOTICS",""
"631","D07CB05","FLUMETASONE AND ANTIBIOTICS",""
"635","N01BB52","LIDOCAINE, COMBINATIONS",""
"636","N01BB52","LIDOCAINE, COMBINATIONS",""
"651","P01BC01","QUININE",""
"721","A06AA01","LIQUID PARAFFIN",""
"728","A03CA02","CLIDINIUM AND PSYCHOLEPTICS",""
"728","A03CA02","CLIDINIUM AND PSYCHOLEPTICS",""
"731","N03AD01","ETHOSUXIMIDE",""
"769","N03AB02","PHENYTOIN",""
"771","N03AD01","ETHOSUXIMIDE",""
"772","H03AA05","THYROID GLAND PREPARATIONS",""
"773","H03AA05","THYROID GLAND PREPARATIONS",""
"774","H03AA05","THYROID GLAND PREPARATIONS",""
