brand,generic,dosage,class
Synthroid,lévothyroxine,"25, 50, 75, 88, 100, 112, 125, 150, 175, 200 mcg",thyroïde (hormone substitutive)
Cytomel,liothyronine,25 mcg,thyroïde (hormone substitutive)
Lipitor,atorvastatine,"10, 20, 40, 80 mg",statine
Crestor,rosuvastatine,"5, 10, 20, 40 mg",statine
Zocor,simvastatine,"10, 20, 40 mg",statine
Pravachol,pravastatine,"10, 20, 40 mg",statine
Ezetrol,ézétimibe,10 mg,hypolipémiant (inhibiteur d'absorption)
Caduet,atorvastatine/amlodipine,"10/5, 20/5, 40/5 mg",statine + bloqueur calcique (combo)
Altace,ramipril,"2.5, 5, 10 mg",IECA
Coversyl,périndopril,"2, 4, 8 mg",IECA
Zestril,lisinopril,"5, 10, 20 mg",IECA
Vasotec,énalapril,"5, 10, 20 mg",IECA
Atacand,candésartan,"8, 16, 32 mg",ARA
Cozaar,losartan,"25, 50, 100 mg",ARA
Diovan,valsartan,"80, 160, 320 mg",ARA
Micardis,telmisartan,"40, 80 mg",ARA
Avapro,irbésartan,"75, 150, 300 mg",ARA
Norvasc,amlodipine,"2.5, 5, 10 mg",bloqueur des canaux calciques
Adalat XL,nifédipine,"30, 60, 90 mg",bloqueur des canaux calciques
Cardizem CD,diltiazem,"120, 180, 240, 300 mg",bloqueur des canaux calciques
Lopresor,métoprolol,"25, 50, 100 mg",bêta-bloquant
Monocor,bisoprolol,"2.5, 5, 10 mg",bêta-bloquant
Tenormin,aténolol,"25, 50, 100 mg",bêta-bloquant
Coreg,carvédilol,"3.125, 6.25, 12.5, 25 mg",bêta-bloquant
Lasix,furosémide,"20, 40, 80 mg",diurétique de l'anse
Lozide,indapamide,"1.25, 2.5 mg",diurétique thiazidique
Aldactone,spironolactone,"25, 50, 100 mg",diurétique épargneur de potassium
Plavix,clopidogrel,75 mg,antiplaquettaire
Brilinta,ticagrélor,90 mg,antiplaquettaire
Xarelto,rivaroxaban,"10, 15, 20 mg",anticoagulant (AOD)
Eliquis,apixaban,"2.5, 5 mg",anticoagulant (AOD)
Pradaxa,dabigatran,"110, 150 mg",anticoagulant (AOD)
Coumadin,warfarine,"1, 2, 3, 4, 5, 10 mg",anticoagulant (antagoniste vit. K)
Aspirine,acide acétylsalicylique (AAS),"80, 325 mg",antiplaquettaire
Cordarone,amiodarone,200 mg,antiarythmique
Lanoxin,digoxine,"0.0625, 0.125, 0.25 mg",antiarythmique / inotrope
Glucophage,metformine,"500, 850, 1000 mg",antidiabétique (biguanide)
Diamicron MR,gliclazide,"30, 60, 80 mg",antidiabétique (sulfonylurée)
Januvia,sitagliptine,"25, 50, 100 mg",antidiabétique (iDPP-4)
Jardiance,empagliflozine,"10, 25 mg",antidiabétique (iSGLT2)
Invokana,canagliflozine,"100, 300 mg",antidiabétique (iSGLT2)
